Layer 1,Layer 2,Layer 3,R2,MAE
4,12,5,0.79043,0.11669
4,12,6,0.79916,0.11227
4,12,7,0.74998,0.14019
4,12,8,0.78085,0.12636
4,12,9,0.75117,0.14179
4,12,10,0.76269,0.12948
4,13,0,0.77019,0.13194
4,13,1,-5E-05,0.53474
4,13,2,0.79127,0.12224
4,13,3,0.75839,0.14646
4,13,4,0.80161,0.12098
4,13,5,0.79823,0.11325
4,13,6,0.77681,0.11483
4,13,7,0.77208,0.1301
4,13,8,0.78247,0.13756
4,13,9,0.7775,0.11912
4,13,10,0.787,0.11725
4,14,0,0.7536,0.13427
4,14,1,0.77624,0.11721
4,14,2,0.76109,0.12396
4,14,3,0.74221,0.14248
4,14,4,0.79373,0.1166
4,14,5,0.73355,0.12911
4,14,6,0.789,0.11818
4,14,7,0.75658,0.12464
4,14,8,0.80775,0.1115
4,14,9,0.79854,0.13321
4,14,10,0.72317,0.13979
4,15,0,0.70672,0.14013
4,15,1,-4E-05,0.5348
4,15,2,0.7725,0.13707
4,15,3,0.38678,0.27572
4,15,4,0.79939,0.10928
4,15,5,0.71024,0.13276
4,15,6,0.78075,0.11964
4,15,7,0.79296,0.11104
4,15,8,0.79131,0.12055
4,15,9,0.78954,0.13078
4,15,10,0.74507,0.14225
4,16,0,0.73929,0.12739
4,16,1,-0.00011,0.53444
4,16,2,-9E-05,0.53449
4,16,3,0.72792,0.14844
4,16,4,0.72714,0.13877
4,16,5,0.78405,0.11939
4,16,6,0.74706,0.13603
4,16,7,0.74682,0.1282
4,16,8,0.77713,0.14893
4,16,9,0.7896,0.11216
4,16,10,0.77726,0.13942
4,17,0,0.72278,0.1429
4,17,1,-5E-05,0.53471
4,17,2,-9E-05,0.53452
4,17,3,0.78603,0.11971
4,17,4,0.7574,0.13425
4,17,5,0.798,0.12577
4,17,6,0.74887,0.13589
4,17,7,0.73603,0.13873
4,17,8,0.75556,0.12949
4,17,9,0.77816,0.1325
4,17,10,0.76517,0.12901
4,18,0,0.73837,0.12569
4,18,1,-0.00012,0.53438
4,18,2,0.80767,0.11791
4,18,3,0.77247,0.12162
4,18,4,0.7897,0.11528
4,18,5,0.75426,0.12205
4,18,6,0.77229,0.11492
4,18,7,0.79416,0.10893
4,18,8,0.80193,0.10923
4,18,9,0.75028,0.12633
4,18,10,0.74644,0.1258
4,19,0,0.73834,0.13486
4,19,1,-7E-05,0.53463
